dismissal_type,bowler,inning,match_id
lbw,V Permaul,2,676525
not out,,2,676527
caught,VD Philander,1,648665
bowled,JH Kallis,3,648665
bowled,DW Steyn,1,648667
lbw,VD Philander,3,648667
bowled,TA Boult,2,667651
caught,TG Southee,4,667651
bowled,JDS Neesham,2,667653
not out,,4,667653
caught,MM Ali,2,667715
caught,JM Anderson,4,667715
caught,NM Lyon,2,754737
caught,NM Lyon,4,754737
caught,SR Watson,1,754739
caught,MG Johnson,3,754739
bowled,NM Lyon,2,754743
caught,SR Watson,4,754743
bowled,Shakib Al Hasan,1,870729
lbw,AD Mathews,2,895773
bowled,HMRKB Herath,4,895773
lbw,AD Mathews,1,895775
caught,PHT Kaushal,3,895775
caught,KTGD Prasad,1,895777
caught,KTGD Prasad,3,895777
caught,SR Harmer,1,903607
caught,M Morkel,3,903607
caught,DL Piedt,1,903609
bowled,M Morkel,3,903609
caught,AS Joseph,1,1022597
lbw,ML Cummins,3,1022597
TDNB,,0,1022599
caught,MJ Santner,1,1030213
not out,,3,1030213
caught,JS Patel,1,1030215
caught,MJ Santner,3,1030215
not out,,1,1030217
DNB,,3,1030217
not out,,2,1122724
caught,PADLR Sandakan,1,1122725
not out,,3,1122725
lbw,K Rabada,2,1122276
bowled,VD Philander,4,1122276
lbw,K Rabada,2,1122277
caught,K Rabada,4,1122277
caught,NM Lyon,1,1144993
caught,NM Lyon,3,1144993
not out,,1,1144995
caught,JR Hazlewood,3,1144995
stumped,KA Maharaj,1,1187007
stumped,KA Maharaj,3,1187007
caught,K Rabada,1,1187008
caught,K Rabada,1,1187009
caught,Abu Jayed,2,1187016
lbw,Ebadot Hossain,2,1187017
caught,JR Hazlewood,2,1223871
caught,PJ Cummins,4,1223871
caught,NM Lyon,2,1223872
caught,PJ Cummins,4,1223872
caught,JC Archer,2,1243384
bowled,MJ Leach,4,1243384
caught,MJ Leach,1,1243385
stumped,MJ Leach,3,1243385
lbw,MJ Leach,2,1243386
not out,,4,1243386
lbw,BA Stokes,2,1243387
caught,KA Jamieson,1,1249875
lbw,TG Southee,3,1249875
caught,OE Robinson,2,1239543
not out,,4,1239543
bowled,JM Anderson,1,1239544
caught,MA Wood,3,1239544
caught,C Overton,1,1239545
lbw,OE Robinson,3,1239545
caught,CR Woakes,1,1239546
caught,OE Robinson,3,1239546
caught,CBRLS Kumara,1,1278682
caught,L Embuldeniya,1,1278683
caught,DM de Silva,3,1278683
bowled,PJ Cummins,2,1348652
bowled,NM Lyon,2,1348653
run out,,4,1348653
stumped,MP Kuhnemann,1,1348654
lbw,NM Lyon,3,1348654
caught,MP Kuhnemann,2,1348655
lbw,PJ Cummins,2,1358412
lbw,NM Lyon,4,1358412
caught,A Athanaze,2,1381212
bowled,JA Warrican,1,1381213
caught,ST Gabriel,3,1381213
caught,K Rabada,1,1387603
bowled,K Rabada,3,1387603
caught,N Burger,2,1387604
not out,,4,1387604
caught,MJ Leach,2,1389399
lbw,TW Hartley,4,1389399
caught,Shoaib Bashir,1,1389400
bowled,JM Anderson,3,1389400
caught,MA Wood,1,1389401
lbw,JE Root,3,1389401
caught,JM Anderson,2,1389402
caught,TW Hartley,4,1389402
bowled,BA Stokes,2,1389403
caught,Hasan Mahmud,1,1439891
caught,Taskin Ahmed,3,1439891
bowled,Mehidy Hasan Miraz,2,1439892
caught,Mehidy Hasan Miraz,4,1439892
bowled,TG Southee,1,1439896
bowled,AY Patel,3,1439896
bowled,TG Southee,2,1439897
caught,MJ Santner,4,1439897
caught,MJ Henry,2,1439898
caught,MJ Henry,4,1439898
lbw,SM Boland,1,1426556
bowled,PJ Cummins,3,1426556
caught,PJ Cummins,2,1426557
DNB,,4,1426557
caught,PJ Cummins,2,1426558
caught,PJ Cummins,4,1426558
DNB,,2,293071
bowled,JH Kallis,1,293076
caught,JR Hopes,2,297795
caught,Shoaib Malik,2,297805
caught,B Lee,1,291359
caught,M Muralidaran,1,291360
not out,,2,291362
not out,,1,291363
caught,JR Hopes,2,291365
caught,M Muralidaran,2,291366
caught,NW Bracken,2,291368
not out,,2,291369
bowled,JR Hopes,2,291371
caught,MJ Clarke,1,291372
bowled,Shahid Afridi,1,345469
caught,Abdur Razzak,2,345470
caught,Umar Gul,2,345471
run out,,1,335349
not out,,2,335351
caught,Shahadat Hossain,2,335352
caught,Iftikhar Anjum,1,335355
not out,,2,335356
lbw,BAW Mendis,2,335358
caught,T Thushara,1,343732
lbw,T Thushara,2,343733
caught,T Thushara,1,343734
caught,BAW Mendis,1,366341
lbw,KMDN Kulasekara,2,343736
not out,,1,361043
caught,SCJ Broad,1,361044
caught,GP Swann,2,361045
not out,,2,361047
not out,,2,386530
not out,,1,386533
caught,MF Maharoof,2,386534
DNB,,2,366624
not out,,1,366625
caught,LS Baker,1,377313
caught,R Rampaul,1,377314
caught,DJ Bravo,2,377315
TDNB,,0,377316
caught,J Botha,2,441829
caught,CB Mpofu,1,452146
not out,,2,452147
run out,,1,452149
bowled,S Randiv,1,452150
lbw,Shakib Al Hasan,2,455232
lbw,Shahid Afridi,2,455234
run out,,1,455236
caught,KMDN Kulasekara,1,455237
caught,DR Tuffey,2,456662
lbw,AD Mathews,2,456663
lbw,AD Mathews,1,456666
stumped,S Randiv,2,456668
caught,TG Southee,2,467886
DNB,,2,467887
caught,M Morkel,2,463150
lbw,M Morkel,1,463151
bowled,M Morkel,2,463152
caught,LL Tsotsobe,2,463153
bowled,LL Tsotsobe,2,463154
not out,,2,489221
not out,,2,489222
not out,,2,489223
caught,A Martin,2,489224
bowled,A Martin,1,489225
retired notout,,1,474477
bowled,A Martin,2,536929
not out,,2,536930
run out,,2,536931
bowled,KAJ Roach,1,536932
bowled,SP Narine,1,536933
caught,CJ McKay,2,518956
caught,NLTC Perera,2,518957
caught,RJ Harris,2,518959
run out,,2,518960
caught,B Lee,2,518962
DNB,,1,535795
run out,,1,535797
caught,Umar Gul,2,535798
bowled,AD Mathews,1,564781
bowled,AD Mathews,1,564782
lbw,SL Malinga,2,564783
lbw,N Pradeep,2,564784
bowled,N Pradeep,1,564785
caught,Junaid Khan,1,589308
lbw,ST Finn,2,565815
caught,TT Bresnan,1,565816
caught,R McLaren,1,578614
caught,SP Narine,2,578619
caught,Saeed Ajmal,2,578623
bowled,AD Mathews,2,566947
bowled,SCJ Broad,1,566948
caught,DJG Sammy,1,597924
caught,KMDN Kulasekara,2,597925
caught,TL Best,1,597926
not out,,1,597928
bowled,HMRKB Herath,2,597929
caught,E Chigumbura,2,643665
caught,BV Vitori,1,643667
caught,MT Chinouya,2,643669
not out,,2,643675
caught,SR Watson,2,647249
not out,,2,647251
caught,SR Watson,1,647253
not out,,2,647255
caught,AJ Finch,2,647259
caught,CJ McKay,1,647261
caught,R Rampaul,2,676529
caught,R Rampaul,1,676531
caught,R Rampaul,2,676533
run out,,2,648651
caught,LL Tsotsobe,2,648653
TDNB,,0,648655
caught,MJ McClenaghan,2,667641
caught,TG Southee,2,667643
caught,CJ Anderson,2,667645
caught,KS Williamson,1,667647
caught,KD Mills,2,667649
bowled,Ziaur Rahman,2,710293
lbw,SMSM Senanayake,1,710297
caught,Mohammad Talha,1,710301
not out,,2,710307
caught,JC Tredwell,1,667723
caught,KMDN Kulasekara,1,792295
bowled,AD Mathews,2,792297
caught,MA Starc,1,754749
caught,Sohail Khan,1,656405
run out,,1,656423
not out,,2,656439
caught,JE Taylor,2,656453
bowled,SR Thompson,2,656465
caught,T Panyangara,2,656475
bowled,Taskin Ahmed,1,656485
bowled,MG Johnson,2,656493
caught,Mustafizur Rahman,2,870731
caught,Mustafizur Rahman,1,870733
caught,Mustafizur Rahman,1,870735
caught,Imran Tahir,2,903593
bowled,K Rabada,1,903595
caught,JP Duminy,2,903597
caught,CH Morris,1,903599
caught,KJ Abbott,2,903601
not out,,1,895807
run out,,1,895809
caught,KW Richardson,1,895811
caught,KW Richardson,2,895813
caught,JW Hastings,2,895815
lbw,DAJ Bracewell,2,1030219
caught,TA Boult,2,1030221
lbw,TG Southee,2,1030223
caught,TG Southee,2,1030225
caught,TA Boult,1,1030227
run out,,1,1022353
caught,SL Malinga,1,1022361
caught,M Morkel,2,1022367
not out,,2,1022373
lbw,Mohammad Amir,2,1022375
run out,,2,1109605
lbw,A Dananjaya,2,1109606
not out,,2,1109607
caught,AD Mathews,1,1109608
caught,MVT Fernando,2,1109609
caught,MP Stoinis,1,1119496
caught,NM Coulter-Nile,1,1119497
caught,NM Coulter-Nile,2,1119498
run out,,2,1119499
caught,A Zampa,2,1119500
bowled,TA Boult,1,1120090
caught,TG Southee,2,1120091
caught,MJ Santner,1,1120092
caught,RAS Lakmal,1,1122726
not out,,1,1122727
bowled,A Dananjaya,2,1122728
caught,M Morkel,2,1122279
caught,K Rabada,2,1122280
caught,K Rabada,1,1122281
caught,K Rabada,1,1122282
caught,L Ngidi,1,1122283
caught,L Ngidi,2,1122284
not out,,2,1119546
bowled,MA Wood,2,1119547
caught,DJ Willey,1,1119548
caught,Ehsan Khan,1,1153246
bowled,Shadab Khan,2,1153247
not out,,2,1153249
not out,,2,1153251
