award,date,match_id
player of the match,6 Nov 2013,Test # 2101
player of the match,2 Oct 2019,Test # 2363
player of the match,19 Oct 2019,Test # 2365
player of the match,2 Sep 2021,Test # 2433
player of the match,30 May 2010,ODI # 2983
player of the match,6 Jun 2011,ODI # 3159
player of the match,29 Nov 2011,ODI # 3217
player of the match,16 Oct 2013,ODI # 3420
player of the match,2 Nov 2013,ODI # 3428
player of the match,13 Nov 2014,ODI # 3544
player of the match,19 Mar 2015,ODI # 3641
player of the match,15 Jan 2016,ODI # 3724
player of the match,15 Jun 2017,ODI # 3891
player of the match,1 Oct 2017,ODI # 3919
player of the match,29 Oct 2017,ODI # 3932
player of the match,13 Dec 2017,ODI # 3941
player of the match,13 Feb 2018,ODI # 3976
player of the match,29 Oct 2018,ODI # 4063
player of the match,26 Jan 2019,ODI # 4085
player of the match,5 Jun 2019,ODI # 4150
player of the match,16 Jun 2019,ODI # 4161
player of the match,2 Jul 2019,ODI # 4182
player of the match,6 Jul 2019,ODI # 4187
player of the match,18 Dec 2019,ODI # 4222
player of the match,19 Jan 2020,ODI # 4233
player of the match,4 Sep 2023,ODI # 4632
player of the match,11 Oct 2023,ODI # 4666
player of the match,29 Oct 2023,ODI # 4686
player of the match,9 Feb 2025,ODI # 4828
player of the match,9 Mar 2025,ODI # 4858
player of the match,20 Sep 2007,T20I # 43
player of the match,9 Jan 2011,T20I # 196
player of the match,24 Feb 2016,T20I # 509
player of the match,3 Mar 2016,T20I # 517
player of the match,22 Dec 2017,T20I # 634
player of the match,14 Mar 2018,T20I # 660
player of the match,8 Jul 2018,T20I # 690
player of the match,6 Nov 2018,T20I # 709
player of the match,7 Nov 2019,T20I # 1007
player of the match,29 Jan 2020,T20I # 1035
player of the match,3 Nov 2021,T20I # 1390
player of the match,23 Sep 2022,T20I # 1794
player of the match,17 Jan 2024,T20I # 2435
player of the match,24 Jun 2024,T20I # 2721
player of the match,20 Sep 2007,T20I # 43
player of the match,6 May 2009,Twenty20
player of the match,16 May 2009,Twenty20
player of the match,16 Apr 2010,Twenty20
player of the match,9 Jan 2011,T20I # 196
player of the match,9 Apr 2012,Twenty20
player of the match,12 May 2012,Twenty20
player of the match,13 Apr 2013,Twenty20
player of the match,29 Apr 2013,Twenty20
player of the match,2 Oct 2013,Twenty20
player of the match,6 May 2014,Twenty20
player of the match,24 May 2015,Twenty20
player of the match,24 Feb 2016,T20I # 509
player of the match,3 Mar 2016,T20I # 517
player of the match,13 Apr 2016,Twenty20
player of the match,20 Apr 2016,Twenty20
player of the match,28 Apr 2016,Twenty20
player of the match,1 May 2016,Twenty20
player of the match,1 May 2017,Twenty20
player of the match,22 Dec 2017,T20I # 634
player of the match,14 Mar 2018,T20I # 660
player of the match,17 Apr 2018,Twenty20
player of the match,28 Apr 2018,Twenty20
player of the match,8 Jul 2018,T20I # 690
player of the match,6 Nov 2018,T20I # 709
player of the match,26 Apr 2019,Twenty20
player of the match,7 Nov 2019,T20I # 1007
player of the match,29 Jan 2020,T20I # 1035
player of the match,23 Sep 2020,Twenty20
player of the match,3 Nov 2021,T20I # 1390
player of the match,23 Sep 2022,T20I # 1794
player of the match,11 Apr 2023,Twenty20
player of the match,17 Jan 2024,T20I # 2435
player of the match,24 Jun 2024,T20I # 2721
player of the match,20 Apr 2025,Twenty20
player of the match,30 May 2025,Twenty20
