result,date,match_id
won,6 Nov 2013,676525
won,14 Nov 2013,676527
draw,18 Dec 2013,648665
lost,26 Dec 2013,648667
lost,6 Feb 2014,667651
draw,14 Feb 2014,667653
lost,27 Jul 2014,667715
lost,9 Dec 2014,754737
lost,17 Dec 2014,754739
draw,6 Jan 2015,754743
draw,10 Jun 2015,870729
lost,12 Aug 2015,895773
won,20 Aug 2015,895775
won,28 Aug 2015,895777
won,25 Nov 2015,903607
won,3 Dec 2015,903609
won,9 Aug 2016,1022597
draw,18 Aug 2016,1022599
won,22 Sep 2016,1030213
won,30 Sep 2016,1030215
won,8 Oct 2016,1030217
won,24 Nov 2017,1122724
draw,2 Dec 2017,1122725
lost,5 Jan 2018,1122276
lost,13 Jan 2018,1122277
won,6 Dec 2018,1144993
won,26 Dec 2018,1144995
won,2 Oct 2019,1187007
won,10 Oct 2019,1187008
won,19 Oct 2019,1187009
won,14 Nov 2019,1187016
won,22 Nov 2019,1187017
draw,7 Jan 2021,1223871
won,15 Jan 2021,1223872
lost,5 Feb 2021,1243384
won,13 Feb 2021,1243385
won,24 Feb 2021,1243386
won,4 Mar 2021,1243387
lost,18 Jun 2021,1249875
draw,4 Aug 2021,1239543
won,12 Aug 2021,1239544
lost,25 Aug 2021,1239545
won,2 Sep 2021,1239546
won,4 Mar 2022,1278682
won,12 Mar 2022,1278683
won,9 Feb 2023,1348652
won,17 Feb 2023,1348653
lost,1 Mar 2023,1348654
draw,9 Mar 2023,1348655
lost,7 Jun 2023,1358412
won,12 Jul 2023,1381212
draw,20 Jul 2023,1381213
lost,26 Dec 2023,1387603
won,3 Jan 2024,1387604
lost,25 Jan 2024,1389399
won,2 Feb 2024,1389400
won,15 Feb 2024,1389401
won,23 Feb 2024,1389402
won,7 Mar 2024,1389403
won,19 Sep 2024,1439891
won,27 Sep 2024,1439892
lost,16 Oct 2024,1439896
lost,24 Oct 2024,1439897
lost,1 Nov 2024,1439898
lost,6 Dec 2024,1426556
draw,14 Dec 2024,1426557
lost,26 Dec 2024,1426558
won,23 Jun 2007,293071
lost,26 Jun 2007,293076
lost,5 Oct 2007,297795
lost,18 Nov 2007,297805
n/r,3 Feb 2008,291359
n/r,5 Feb 2008,291360
won,10 Feb 2008,291362
lost,12 Feb 2008,291363
lost,17 Feb 2008,291365
won,19 Feb 2008,291366
lost,24 Feb 2008,291368
won,26 Feb 2008,291369
won,2 Mar 2008,291371
won,4 Mar 2008,291372
won,10 Jun 2008,345469
won,12 Jun 2008,345470
lost,14 Jun 2008,345471
won,25 Jun 2008,335349
won,26 Jun 2008,335351
won,28 Jun 2008,335352
lost,2 Jul 2008,335355
won,3 Jul 2008,335356
lost,6 Jul 2008,335358
lost,18 Aug 2008,343732
won,20 Aug 2008,343733
won,24 Aug 2008,343734
won,27 Aug 2008,366341
lost,29 Aug 2008,343736
won,14 Nov 2008,361043
won,17 Nov 2008,361044
won,20 Nov 2008,361045
won,26 Nov 2008,361047
won,28 Jan 2009,386530
won,5 Feb 2009,386533
lost,8 Feb 2009,386534
won,11 Mar 2009,366624
lost,14 Mar 2009,366625
won,26 Jun 2009,377313
lost,28 Jun 2009,377314
won,3 Jul 2009,377315
n/r,5 Jul 2009,377316
lost,27 Feb 2010,441829
lost,28 May 2010,452146
won,30 May 2010,452147
lost,3 Jun 2010,452149
lost,5 Jun 2010,452150
won,16 Jun 2010,455232
won,19 Jun 2010,455234
lost,22 Jun 2010,455236
won,24 Jun 2010,455237
lost,10 Aug 2010,456662
won,16 Aug 2010,456663
lost,22 Aug 2010,456666
lost,28 Aug 2010,456668
won,7 Dec 2010,467886
won,10 Dec 2010,467887
lost,12 Jan 2011,463150
won,15 Jan 2011,463151
won,18 Jan 2011,463152
lost,21 Jan 2011,463153
lost,23 Jan 2011,463154
won,6 Jun 2011,489221
won,8 Jun 2011,489222
won,11 Jun 2011,489223
lost,13 Jun 2011,489224
lost,16 Jun 2011,489225
n/r,3 Sep 2011,474477
won,29 Nov 2011,536929
won,2 Dec 2011,536930
lost,5 Dec 2011,536931
won,8 Dec 2011,536932
won,11 Dec 2011,536933
lost,5 Feb 2012,518956
won,8 Feb 2012,518957
won,12 Feb 2012,518959
tied,14 Feb 2012,518960
lost,19 Feb 2012,518962
won,13 Mar 2012,535795
lost,16 Mar 2012,535797
won,18 Mar 2012,535798
won,21 Jul 2012,564781
lost,24 Jul 2012,564782
won,28 Jul 2012,564783
won,31 Jul 2012,564784
