Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match_Url
177,370,301,23,1,58.80,6,lbw,2,v West Indies,Eden Gardens,6 Nov 2013,https://stats.espncricinfo.com/ci/engine/match/676525.html
111*,181,127,11,3,87.40,6,not out,2,v West Indies,Wankhede,14 Nov 2013,https://stats.espncricinfo.com/ci/engine/match/676527.html
14,46,42,1,0,33.33,5,caught,1,v South Africa,Johannesburg,18 Dec 2013,https://stats.espncricinfo.com/ci/engine/match/648665.html
6,19,13,1,0,46.15,5,bowled,3,v South Africa,Johannesburg,18 Dec 2013,https://stats.espncricinfo.com/ci/engine/match/648665.html
0,2,1,0,0,0.00,5,bowled,1,v South Africa,Durban,26 Dec 2013,https://stats.espncricinfo.com/ci/engine/match/648667.html
25,69,46,2,1,54.34,5,lbw,3,v South Africa,Durban,26 Dec 2013,https://stats.espncricinfo.com/ci/engine/match/648667.html
72,167,120,8,1,60.00,5,bowled,2,v New Zealand,Auckland,6 Feb 2014,https://stats.espncricinfo.com/ci/engine/match/667651.html
19,90,59,2,0,32.20,5,caught,4,v New Zealand,Auckland,6 Feb 2014,https://stats.espncricinfo.com/ci/engine/match/667651.html
0,11,3,0,0,0.00,6,bowled,2,v New Zealand,Wellington,14 Feb 2014,https://stats.espncricinfo.com/ci/engine/match/667653.html
31*,122,97,4,0,31.95,5,not out,4,v New Zealand,Wellington,14 Feb 2014,https://stats.espncricinfo.com/ci/engine/match/667653.html
28,81,61,3,0,45.90,6,caught,2,v England,Southampton,27 Jul 2014,https://stats.espncricinfo.com/ci/engine/match/667715.html
6,39,28,0,0,21.42,6,caught,4,v England,Southampton,27 Jul 2014,https://stats.espncricinfo.com/ci/engine/match/667715.html
43,142,89,5,0,48.31,6,caught,2,v Australia,Adelaide,9 Dec 2014,https://stats.espncricinfo.com/ci/engine/match/754737.html
6,37,18,1,0,33.33,6,caught,4,v Australia,Adelaide,9 Dec 2014,https://stats.espncricinfo.com/ci/engine/match/754737.html
32,93,55,3,1,58.18,6,caught,1,v Australia,Brisbane,17 Dec 2014,https://stats.espncricinfo.com/ci/engine/match/754739.html
0,2,2,0,0,0.00,6,caught,3,v Australia,Brisbane,17 Dec 2014,https://stats.espncricinfo.com/ci/engine/match/754739.html
53,179,133,5,2,39.84,3,bowled,2,v Australia,Sydney,6 Jan 2015,https://stats.espncricinfo.com/ci/engine/match/754743.html
39,102,90,2,2,43.33,3,caught,4,v Australia,Sydney,6 Jan 2015,https://stats.espncricinfo.com/ci/engine/match/754743.html
6,11,9,1,0,66.66,3,bowled,1,v Bangladesh,Fatullah,10 Jun 2015,https://stats.espncricinfo.com/ci/engine/match/870729.html
9,33,24,1,0,37.50,3,lbw,2,v Sri Lanka,Galle,12 Aug 2015,https://stats.espncricinfo.com/ci/engine/match/895773.html
4,16,16,1,0,25.00,4,bowled,4,v Sri Lanka,Galle,12 Aug 2015,https://stats.espncricinfo.com/ci/engine/match/895773.html
79,185,132,5,3,59.84,5,lbw,1,v Sri Lanka,Colombo (PSS),20 Aug 2015,https://stats.espncricinfo.com/ci/engine/match/895775.html
34,100,55,2,0,61.81,5,caught,3,v Sri Lanka,Colombo (PSS),20 Aug 2015,https://stats.espncricinfo.com/ci/engine/match/895775.html
26,95,65,3,1,40.00,5,caught,1,v Sri Lanka,Colombo (SSC),28 Aug 2015,https://stats.espncricinfo.com/ci/engine/match/895777.html
50,131,72,4,1,69.44,5,caught,3,v Sri Lanka,Colombo (SSC),28 Aug 2015,https://stats.espncricinfo.com/ci/engine/match/895777.html
2,41,28,0,0,7.14,6,caught,1,v South Africa,Nagpur,25 Nov 2015,https://stats.espncricinfo.com/ci/engine/match/903607.html
23,77,39,1,1,58.97,6,caught,3,v South Africa,Nagpur,25 Nov 2015,https://stats.espncricinfo.com/ci/engine/match/903607.html
1,15,6,0,0,16.66,6,caught,1,v South Africa,Delhi,3 Dec 2015,https://stats.espncricinfo.com/ci/engine/match/903609.html
